Params,Accuracy,Precision,Recall,F1-Score
"lr=0.001, act=relu, hl=2, units=32",0.8469387755102041,0.53125,0.3617021276595745,0.43037974683544306
"lr=0.001, act=relu, hl=2, units=64",0.8367346938775511,0.48717948717948717,0.40425531914893614,0.4418604651162791
"lr=0.005, act=relu, hl=2, units=32",0.8367346938775511,0.48484848484848486,0.3404255319148936,0.4
"lr=0.005, act=relu, hl=2, units=64",0.8435374149659864,0.5135135135135135,0.40425531914893614,0.4523809523809524
"lr=0.001, act=relu, hl=3, units=32",0.7925170068027211,0.34782608695652173,0.3404255319148936,0.34408602150537637
"lr=0.001, act=relu, hl=3, units=64",0.8231292517006803,0.42857142857142855,0.3191489361702128,0.36585365853658536
"lr=0.005, act=relu, hl=3, units=32",0.8367346938775511,0.4864864864864865,0.3829787234042553,0.42857142857142855
"lr=0.005, act=relu, hl=3, units=64",0.8333333333333334,0.4722222222222222,0.3617021276595745,0.40963855421686746
"lr=0.001, act=tanh, hl=2, units=32",0.8163265306122449,0.3939393939393939,0.2765957446808511,0.325
"lr=0.001, act=tanh, hl=2, units=64",0.8129251700680272,0.39473684210526316,0.3191489361702128,0.35294117647058826
"lr=0.005, act=tanh, hl=2, units=32",0.826530612244898,0.4473684210526316,0.3617021276595745,0.4
"lr=0.005, act=tanh, hl=2, units=64",0.8367346938775511,0.4857142857142857,0.3617021276595745,0.4146341463414634
"lr=0.001, act=tanh, hl=3, units=32",0.8061224489795918,0.4,0.425531914893617,0.41237113402061853
"lr=0.001, act=tanh, hl=3, units=64",0.8163265306122449,0.4,0.2978723404255319,0.34146341463414637
"lr=0.005, act=tanh, hl=3, units=32",0.8231292517006803,0.42857142857142855,0.3191489361702128,0.36585365853658536
"lr=0.005, act=tanh, hl=3, units=64",0.8231292517006803,0.41935483870967744,0.2765957446808511,0.3333333333333333
